nodes,arity,factors,graph_construction_ms,bp_step_ms,activation_update_ms,total_tick_ms
100,2,99,0.7104999967850745,0.9095999994315207,0.41290000081062317,1.3225000002421439
100,4,33,2.2143000387586653,1.3696000096388161,0.37460000021383166,1.7442000098526478
100,7,17,0.20290003158152103,1.1671000393107533,0.33409998286515474,1.501200022175908
500,2,499,2.620800049044192,4.150399996433407,1.9261999987065792,6.076599995139986
500,4,167,1.2006000033579767,7.509599963668734,1.9023999921046197,9.411999955773354
500,7,84,0.8169999928213656,5.8111000107601285,1.851600012741983,7.662700023502111
1000,2,999,7.197899976745248,10.078499966766685,4.483300028368831,14.561799995135516
1000,4,333,2.6171000208705664,12.47939997119829,3.506799985188991,15.986199956387281
1000,7,167,1.5453000087291002,12.743900006171316,3.3585999626666307,16.102499968837947
5000,2,4999,31.61619999445975,47.04279999714345,24.48040002491325,71.5232000220567
5000,4,1667,13.86340003227815,66.33010000223294,19.463300006464124,85.79340000869706
5000,7,834,8.150100009515882,69.84139996347949,18.384499999228865,88.22589996270835
10000,2,9999,58.0389000242576,95.07650003070012,43.5793999931775,138.65590002387762
10000,4,3333,26.506999973207712,130.77200000407174,37.30089997407049,168.07289997814223
10000,7,1667,17.777299974113703,124.4538000319153,36.15509998053312,160.60890001244843
