activation,decay,threshold,factor_strength,name,propagation_latency,peak_activation,activation_half_life,spread,selectivity,stability,oscillation,convergence,graph_construction_ms,bp_step_ms,activation_update_ms,total_tick_ms,total_run_ms,ticks,exact_factors,approximate_factors
linear,0.1,0.5,0.5,chain,inf,1.0,10.0,0.0,0.4448241273948211,1.0,0.039473684210526314,0.025275481759267027,0.01209997572004795,0.11319998884573579,0.06689998554065824,0.18009997438639402,1.8100999877788126,20,0,0
linear,0.1,0.5,0.8,chain,inf,1.0,10.0,0.0,0.4448241273948211,1.0,0.039473684210526314,0.025275481759267027,0.0523999915458262,0.018300022929906845,0.011199968867003918,0.029499991796910763,1.2234000023454428,20,0,0
linear,0.1,0.7,0.2,chain,inf,1.0,10.0,0.0,0.4448241273948211,1.0,0.039473684210526314,0.025275481759267027,0.02540001878514886,0.017799960914999247,0.011500029359012842,0.02929999027401209,1.1306999949738383,20,0,0
linear,0.1,0.7,0.5,chain,inf,1.0,10.0,0.0,0.4448241273948211,1.0,0.039473684210526314,0.025275481759267027,0.014899997040629387,0.018199963960796595,0.011100026313215494,0.02929999027401209,0.8669999660924077,20,0,0
linear,0.1,0.7,0.8,chain,inf,1.0,10.0,0.0,0.4448241273948211,1.0,0.039473684210526314,0.025275481759267027,0.011700030881911516,0.018799968529492617,0.011500029359012842,0.03029999788850546,0.9054000256583095,20,0,0
linear,0.1,0.9,0.2,chain,inf,1.0,10.0,0.0,0.4448241273948211,1.0,0.039473684210526314,0.025275481759267027,0.012499978765845299,0.017700018361210823,0.010999967344105244,0.028699985705316067,0.8772999863140285,20,0,0
linear,0.1,0.9,0.5,chain,inf,1.0,10.0,0.0,0.4448241273948211,1.0,0.039473684210526314,0.025275481759267027,0.011400028597563505,0.01780001912266016,0.01079996582120657,0.02859998494386673,0.8704000501893461,20,0,0
linear,0.1,0.9,0.8,chain,inf,1.0,10.0,0.0,0.4448241273948211,1.0,0.039473684210526314,0.025275481759267027,0.011400028597563505,0.017700018361210823,0.010699965059757233,0.028399983420968056,0.8632999961264431,20,0,0
sigmoid,0.01,0.5,0.2,chain,1.0,0.7707654767612319,inf,4.0,1.000702011172323,0.0,0.0625,0.000729260391657216,0.011499971151351929,0.02169999061152339,0.012499978765845299,0.03419996937736869,2.2089999984018505,17,0,0
sigmoid,0.01,0.5,0.5,chain,1.0,0.7707654767612319,inf,4.0,1.000702011172323,0.0,0.0625,0.000729260391657216,0.016000005416572094,0.02039998071268201,0.012299977242946625,0.032699957955628633,0.8421999518759549,17,0,0
sigmoid,0.01,0.5,0.8,chain,1.0,0.7707654767612319,inf,4.0,1.000702011172323,0.0,0.0625,0.000729260391657216,0.01279998105019331,0.021099986042827368,0.01309998333454132,0.03419996937736869,0.8164999890141189,17,0,0
sigmoid,0.01,0.7,0.2,chain,3.0,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.011199968867003918,0.020799983758479357,0.011300027836114168,0.032100011594593525,0.7642999989911914,17,0,0
sigmoid,0.01,0.7,0.5,chain,3.0,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.010000017937272787,0.02180004958063364,0.011399970389902592,0.03320001997053623,0.7640999974682927,17,0,0
sigmoid,0.01,0.7,0.8,chain,3.0,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.009500014130026102,0.019799976143985987,0.011200027074664831,0.031000003218650818,0.7514000171795487,17,0,0
sigmoid,0.01,0.9,0.2,chain,inf,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.009399955160915852,0.040000013541430235,0.027699978090822697,0.06769999163225293,0.8630999946035445,17,0,0
sigmoid,0.01,0.9,0.5,chain,inf,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.037299992982298136,0.042600033339113,0.023600005079060793,0.06620003841817379,1.429299998562783,17,0,0
sigmoid,0.01,0.9,0.8,chain,inf,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.020099978428333998,0.021200045011937618,0.011399970389902592,0.03260001540184021,0.8535999804735184,17,0,0
sigmoid,0.05,0.5,0.2,chain,1.0,0.7707654767612319,inf,4.0,1.000702011172323,0.0,0.0625,0.000729260391657216,0.01260003773495555,0.021400046534836292,0.013599987141788006,0.0350000336766243,0.9686000412330031,17,0,0
sigmoid,0.05,0.5,0.5,chain,1.0,0.7707654767612319,inf,4.0,1.000702011172323,0.0,0.0625,0.000729260391657216,0.014699995517730713,0.020799983758479357,0.013000040780752897,0.033800024539232254,0.8112999494187534,17,0,0
sigmoid,0.05,0.5,0.8,chain,1.0,0.7707654767612319,inf,4.0,1.000702011172323,0.0,0.0625,0.000729260391657216,0.012800039257854223,0.020400038920342922,0.013499986380338669,0.03390002530068159,0.819800014141947,17,0,0
sigmoid,0.05,0.7,0.2,chain,3.0,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.011699972674250603,0.02050003968179226,0.011199968867003918,0.03170000854879618,0.7593999616801739,17,0,0
sigmoid,0.05,0.7,0.5,chain,3.0,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.010100018698722124,0.020300038158893585,0.010899966582655907,0.031200004741549492,0.7732000085525215,17,0,0
sigmoid,0.05,0.7,0.8,chain,3.0,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.009700015652924776,0.0198000343516469,0.01969997538253665,0.03950000973418355,0.764199998229742,17,0,0
sigmoid,0.05,0.9,0.2,chain,inf,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.009100011084228754,0.020700041204690933,0.01179997343569994,0.03250001464039087,0.7547999848611653,17,0,0
sigmoid,0.05,0.9,0.5,chain,inf,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.009400013368576765,0.020599982235580683,0.01160003012046218,0.03220001235604286,0.7560999947600067,17,0,0
sigmoid,0.05,0.9,0.8,chain,inf,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.009100011084228754,0.020900042727589607,0.01729995710775256,0.03819999983534217,0.7493000011891127,17,0,0
sigmoid,0.1,0.5,0.2,chain,1.0,0.7707654767612319,inf,4.0,1.000702011172323,0.0,0.0625,0.000729260391657216,0.00890000956133008,0.020799983758479357,0.01279998105019331,0.03359996480867267,0.785800046287477,17,0,0
sigmoid,0.1,0.5,0.5,chain,1.0,0.7707654767612319,inf,4.0,1.000702011172323,0.0,0.0625,0.000729260391657216,0.009100011084228754,0.020599982235580683,0.012899981811642647,0.03349996404722333,0.7898000185377896,17,0,0
sigmoid,0.1,0.5,0.8,chain,1.0,0.7707654767612319,inf,4.0,1.000702011172323,0.0,0.0625,0.000729260391657216,0.009500014130026102,0.02099998528137803,0.013199984095990658,0.03419996937736869,0.8015999919734895,17,0,0
sigmoid,0.1,0.7,0.2,chain,3.0,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.008800008799880743,0.02050003968179226,0.011199968867003918,0.03170000854879618,0.7612999761477113,17,0,0
sigmoid,0.1,0.7,0.5,chain,3.0,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.008400005754083395,0.020400038920342922,0.01179997343569994,0.03220001235604286,1.1738999746739864,17,0,0
sigmoid,0.1,0.7,0.8,chain,3.0,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.02540001878514886,0.026699970476329327,0.015700003132224083,0.04239997360855341,0.8545999880880117,17,0,0
sigmoid,0.1,0.9,0.2,chain,inf,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.01209997572004795,0.02110004425048828,0.013899989426136017,0.0350000336766243,0.8653000113554299,17,0,0
sigmoid,0.1,0.9,0.5,chain,inf,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.011599971912801266,0.02010003663599491,0.014899997040629387,0.0350000336766243,0.8618999854661524,17,0,0
sigmoid,0.1,0.9,0.8,chain,inf,0.7707654767612319,inf,0.0,1.000702011172323,1.0,0.0625,0.000729260391657216,0.010400020983070135,0.019600032828748226,0.012299977242946625,0.03190001007169485,0.7881000055931509,17,0,0
relu,0.01,0.5,0.2,chain,7.0,0.9278362042572394,inf,1.0,0.4654273135124496,0.75,0.05263157894736842,0.00832832326680888,0.013699987903237343,0.018000020645558834,0.011400028597563505,0.02940004924312234,0.9092999971471727,20,0,0
relu,0.01,0.5,0.5,chain,7.0,0.9278362042572394,inf,1.0,0.4654273135124496,0.75,0.05263157894736842,0.00832832326680888,0.011400028597563505,0.018300022929906845,0.011300027836114168,0.029600050766021013,0.9121000184677541,20,0,0
relu,0.01,0.5,0.8,chain,7.0,0.9278362042572394,inf,1.0,0.4654273135124496,0.75,0.05263157894736842,0.00832832326680888,0.009899958968162537,0.01850002445280552,0.011199968867003918,0.029699993319809437,0.887499947566539,20,0,0
relu,0.01,0.7,0.2,chain,inf,0.9278362042572394,inf,1.0,0.4654273135124496,0.75,0.05263157894736842,0.00832832326680888,0.011500029359012842,0.019899976905435324,0.01190003240481019,0.031800009310245514,0.9139000321738422,20,0,0
relu,0.01,0.7,0.5,chain,inf,0.9278362042572394,inf,1.0,0.4654273135124496,0.75,0.05263157894736842,0.00832832326680888,0.011299969628453255,0.018400023691356182,0.011199968867003918,0.0295999925583601,0.8822999661788344,20,0,0
relu,0.01,0.7,0.8,chain,inf,0.9278362042572394,inf,1.0,0.4654273135124496,0.75,0.05263157894736842,0.00832832326680888,0.009500014130026102,0.01780001912266016,0.011299969628453255,0.029099988751113415,0.889300019480288,20,0,0
relu,0.01,0.9,0.2,chain,inf,0.9278362042572394,inf,0.0,0.4654273135124496,1.0,0.05263157894736842,0.00832832326680888,0.009500014130026102,0.018200022168457508,0.01079996582120657,0.028999987989664078,0.8680999744683504,20,0,0
relu,0.01,0.9,0.5,chain,inf,0.9278362042572394,inf,0.0,0.4654273135124496,1.0,0.05263157894736842,0.00832832326680888,0.008800008799880743,0.017599959392100573,0.010800024028867483,0.028399983420968056,0.8705999935045838,20,0,0
relu,0.01,0.9,0.8,chain,inf,0.9278362042572394,inf,0.0,0.4654273135124496,1.0,0.05263157894736842,0.00832832326680888,0.00909995287656784,0.017300015315413475,0.011299969628453255,0.02859998494386673,0.8635999984107912,20,0,0
relu,0.05,0.5,0.2,chain,inf,0.8096392345395043,inf,0.0,0.5337396844020866,1.0,0.05263157894736842,0.020991553404947516,0.008600007276982069,0.018600025214254856,0.011399970389902592,0.029999995604157448,1.0234999936074018,20,0,0
relu,0.05,0.5,0.5,chain,inf,0.8096392345395043,inf,0.0,0.5337396844020866,1.0,0.05263157894736842,0.020991553404947516,0.0097999582067132,0.017700018361210823,0.010800024028867483,0.028500042390078306,0.9015999967232347,20,0,0
relu,0.05,0.5,0.8,chain,inf,0.8096392345395043,inf,0.0,0.5337396844020866,1.0,0.05263157894736842,0.020991553404947516,0.010000017937272787,0.020400038920342922,0.012399978004395962,0.032800016924738884,1.103400019928813,20,0,0
relu,0.05,0.7,0.2,chain,inf,0.8096392345395043,inf,0.0,0.5337396844020866,1.0,0.05263157894736842,0.020991553404947516,0.02500001573935151,0.017900019884109497,0.013999990187585354,0.03190001007169485,1.0495000169612467,20,0,0
relu,0.05,0.7,0.5,chain,inf,0.8096392345395043,inf,0.0,0.5337396844020866,1.0,0.05263157894736842,0.020991553404947516,0.012800039257854223,0.017700018361210823,0.012899981811642647,0.03060000017285347,1.0079999919980764,20,0,0
relu,0.05,0.7,0.8,chain,inf,0.8096392345395043,inf,0.0,0.5337396844020866,1.0,0.05263157894736842,0.020991553404947516,0.01179997343569994,0.017900019884109497,0.011299969628453255,0.029199989512562752,0.8884999551810324,20,0,0
relu,0.05,0.9,0.2,chain,inf,0.8096392345395043,inf,0.0,0.5337396844020866,1.0,0.05263157894736842,0.020991553404947516,0.0241999514400959,0.017799960914999247,0.011200027074664831,0.028999987989664078,0.9357999661006033,20,0,0
relu,0.05,0.9,0.5,chain,inf,0.8096392345395043,inf,0.0,0.5337396844020866,1.0,0.05263157894736842,0.020991553404947516,0.013999990187585354,0.018000020645558834,0.011400028597563505,0.02940004924312234,0.9063000325113535,20,0,0
relu,0.05,0.9,0.8,chain,inf,0.8096392345395043,inf,0.0,0.5337396844020866,1.0,0.05263157894736842,0.020991553404947516,0.01209997572004795,0.017599959392100573,0.011400028597563505,0.028999987989664078,0.8766999817453325,20,0,0
relu,0.1,0.5,0.2,chain,inf,0.7230658682196488,10.0,0.0,0.6525371308188678,1.0,0.05263157894736842,0.01723046929357544,0.010700023267418146,0.01769996015354991,0.011200027074664831,0.02889998722821474,0.8969000191427767,20,0,0
relu,0.1,0.5,0.5,chain,inf,0.7230658682196488,10.0,0.0,0.6525371308188678,1.0,0.05263157894736842,0.01723046929357544,0.009800016414374113,0.017899961676448584,0.011100026313215494,0.028999987989664078,0.8631999953649938,20,0,0
relu,0.1,0.5,0.8,chain,inf,0.7230658682196488,10.0,0.0,0.6525371308188678,1.0,0.05263157894736842,0.01723046929357544,0.009400013368576765,0.017900019884109497,0.011399970389902592,0.02929999027401209,0.8929999894462526,20,0,0
relu,0.1,0.7,0.2,chain,inf,0.7230658682196488,10.0,0.0,0.6525371308188678,1.0,0.05263157894736842,0.01723046929357544,0.009100011084228754,0.018099963199347258,0.011500029359012842,0.0295999925583601,0.8697999874129891,20,0,0
relu,0.1,0.7,0.5,chain,inf,0.7230658682196488,10.0,0.0,0.6525371308188678,1.0,0.05263157894736842,0.01723046929357544,0.010200019460171461,0.017199956346303225,0.015500001609325409,0.032699957955628633,0.8832999737933278,20,0,0
relu,0.1,0.7,0.8,chain,inf,0.7230658682196488,10.0,0.0,0.6525371308188678,1.0,0.05263157894736842,0.01723046929357544,0.009200011845678091,0.03689998993650079,0.022499996703118086,0.059399986639618874,1.83119997382164,20,0,0
relu,0.1,0.9,0.2,chain,inf,0.7230658682196488,10.0,0.0,0.6525371308188678,1.0,0.05263157894736842,0.01723046929357544,0.012699980288743973,0.018900027498602867,0.010899966582655907,0.029799994081258774,0.8966000168584287,20,0,0
relu,0.1,0.9,0.5,chain,inf,0.7230658682196488,10.0,0.0,0.6525371308188678,1.0,0.05263157894736842,0.01723046929357544,0.009800016414374113,0.040300015825778246,0.018099963199347258,0.058399979025125504,1.222599996253848,20,0,0
relu,0.1,0.9,0.8,chain,inf,0.7230658682196488,10.0,0.0,0.6525371308188678,1.0,0.05263157894736842,0.01723046929357544,0.025999965146183968,0.017700018361210823,0.011399970389902592,0.029099988751113415,1.2303999974392354,20,0,0
